formid,exp,geogr,date,stemp,btemp,btime,start,visibility,averagedepth,maxdepth,current,habitat,,
5024390,E,34030028,6/4/2009,0,80,71,11,4,4,NULL,3,1,,
5024237,E,34030005,6/4/2009,77,77,60,10,3,4,NULL,3,1,,
5024238,E,34030005,6/4/2009,80,80,60,11,3,4,NULL,3,1,,
5024388,E,34030005,6/4/2009,0,80,70,9,4,4,NULL,3,1,,
5024394,E,34030014,6/5/2009,0,80,66,11,5,4,NULL,3,1,,
5024391,E,34030013,6/5/2009,0,79,70,9,5,4,NULL,3,2,,
5024395,E,34030009,6/6/2009,0,80,69,9,4,4,NULL,2,2,,
5024396,E,34030009,6/6/2009,0,80,66,11,4,4,NULL,2,2,,
5024177,E,34030053,6/8/2009,82,0,75,13,2,1,NULL,3,1,,
5024272,E,34080008,6/10/2009,84,84,38,16,2,4,NULL,2,2,,
5024273,E,34080003,6/10/2009,84,84,41,17,2,4,NULL,3,2,,
5024461,E,34080018,6/13/2009,85,85,46,7,5,3,NULL,3,2,,
5024437,E,34030038,6/13/2009,0,78,40,13,4,8,NULL,1,10,,
5024436,E,34030014,6/13/2009,0,83,55,15,4,4,NULL,3,1,,
5024460,E,34080019,6/14/2009,85,84,44,16,6,4,NULL,2,2,,
5024601,E,34080009,6/15/2009,0,80,55,16,4,6,NULL,3,2,,
5024602,E,34080001,6/15/2009,0,84,50,14,3,4,NULL,3,2,,
5024596,E,34080097,6/16/2009,84,83,26,10,4,9,NULL,1,10,,
5024599,E,34080097,6/16/2009,0,79,30,11,3,9,NULL,1,10,,
5024600,E,34080095,6/16/2009,0,84,50,13,3,4,NULL,3,1,,
5024736,E,34080023,6/16/2009,85,85,42,12,3,4,NULL,3,2,,
5029171,E,34050004,6/16/2009,86,86,40,14,2,4,NULL,3,3,,
5029173,E,34050004,6/16/2009,86,86,28,13,3,4,NULL,3,3,,
5029174,E,34050004,6/16/2009,86,86,30,11,3,4,NULL,3,3,,
5029179,E,34050004,6/16/2009,86,86,26,10,3,3,NULL,3,9,,
5029182,E,34050004,6/16/2009,86,86,29,12,3,3,NULL,3,3,,
5024631,E,34060011,6/17/2009,0,84,57,12,3,4,NULL,3,2,,
5024628,E,34060010,6/17/2009,0,84,55,11,3,4,NULL,3,2,,
5029183,E,34050013,6/18/2009,87,87,27,13,2,3,NULL,3,3,,
5029184,E,34050013,6/18/2009,89,89,41,12,3,3,NULL,3,7,,
5028714,E,34050004,6/18/2009,86,86,38,10,4,7,NULL,3,3,,
5029170,E,34050004,6/18/2009,86,86,31,11,3,3,NULL,3,3,,
5029172,E,34050004,6/18/2009,82,82,28,9,4,7,NULL,3,3,,
5024737,E,34080009,6/21/2009,85,85,46,10,3,4,NULL,2,3,,
5024738,E,34080008,6/21/2009,85,85,53,12,3,3,NULL,3,2,,
5024762,E,34080004,6/22/2009,85,85,47,15,3,4,NULL,3,2,,
5024799,E,34080003,6/24/2009,85,85,44,17,3,4,NULL,3,2,,
5029189,E,34050013,6/29/2009,84,84,21,13,3,4,NULL,2,9,,
5029185,E,34050001,6/29/2009,84,84,17,9,2,4,NULL,2,9,,
5029186,E,34050001,6/29/2009,84,84,43,10,2,3,NULL,2,9,,
5029187,E,34050001,6/29/2009,84,84,33,11,3,3,NULL,2,9,,
5029188,E,34050001,6/29/2009,84,84,23,12,3,4,NULL,2,3,,
5024973,E,34080095,6/30/2009,0,82,30,12,1,9,NULL,2,4,,
5024997,E,34080095,6/30/2009,85,85,38,10,2,8,NULL,2,10,,
5024998,E,34080095,6/30/2009,85,85,38,11,2,8,NULL,2,4,,
5025059,E,34080095,6/30/2009,0,82,30,12,2,6,NULL,1,4,,
5025090,E,34080095,6/30/2009,0,82,30,12,2,6,NULL,2,4,,
5025854,E,34080095,6/30/2009,82,82,30,10,2,8,NULL,2,4,,
5024980,E,34080023,6/30/2009,90,78,30,11,2,9,NULL,1,3,,
5024999,E,34080023,6/30/2009,86,83,30,11,2,9,NULL,1,4,,
5024972,E,34080010,6/30/2009,0,84,30,10,2,8,NULL,1,10,,
5024979,E,34080010,6/30/2009,90,80,30,10,3,9,NULL,1,10,,
5024981,E,34080010,6/30/2009,86,86,30,10,2,8,NULL,1,10,,
5025057,E,34080010,6/30/2009,0,84,30,10,2,8,NULL,1,10,,
5025058,E,34080010,6/30/2009,0,84,60,10,2,8,NULL,1,10,,
5025855,E,34080010,6/30/2009,82,82,30,11,2,8,NULL,2,10,,
5025004,E,34080094,7/1/2009,86,82,30,14,1,8,NULL,2,4,,
5025007,E,34080094,7/1/2009,0,82,22,15,1,8,NULL,1,4,,
5025010,E,34080094,7/1/2009,90,80,24,14,1,8,NULL,2,3,,
5025063,E,34080094,7/1/2009,0,82,30,15,2,7,NULL,2,4,,
5025097,E,34080094,7/1/2009,0,84,30,15,2,7,NULL,2,4,,
5025809,E,34080094,7/1/2009,82,82,30,15,2,8,NULL,2,4,,
